"cz1600","Wilson, NC",92390
"cz23400","Bloomington, IL",89340
"cz11201","Bluefield, VA & WV",86080
"cz16801","Beckley, WV",82860
"cz25500","Centralia, IL",82219
"cz15600","Wheeling, OH & WV",80248
"cz14500","Lafayette, IL & IN",79215
"cz17000","Pikeville, KY & WV",78481
"cz16702","Morgantown, WV",76901
"cz10801","Tuscaloosa, AL",76115
"cz19600","Newark, NJ & NY",76104
"cz6100","Gadsden, AL",74935
"cz25200","Henderson, KY",74420
"cz19500","Toms River, NJ",73667
"cz24200","Bourbonnais, IL",73603
"cz23301","Charleston, IL",72652
"cz19800","Wilmington, DE & MD",72561
"cz11304","Washington DC, DC & MD & VA",72302
"cz19300","Poughkeepsie, NY",71960
"cz17600","Charlottesville, VA",71423
"cz6000","Huntsville, AL & TN",71324
"cz8401","Aiken, GA & SC",70848
"cz24300","Chicago, IL",70695
"cz10502","Starkville, MS",70529
"cz4402","Richmond, KY",69721
"cz16300","Pittsburgh, PA",69500
"cz14400","Terre Haute, IN",69397
"cz15200","Cleveland, OH",69203
"cz9900","Tallahassee, FL",69118
"cz18600","Albany, NY",68741
"cz15800","Athens, OH & WV",68465
"cz9800","Auburn, AL",68268
"cz11302","Baltimore, MD",68095
"cz12800","Washington, IN",67752
"cz5800","Dickson, TN",67565
"cz19700","Philadelphia, NJ & PA",67457
"cz11600","Detroit, MI",67442
"cz11301","Fredericksburg, VA",67004
"cz14900","Gary, IN",66928
"cz12701","Cincinnati, KY & OH",66465
"cz2200","South Boston, VA",66292
"cz7900","Gainesville, FL",66166
"cz19000","Allentown, PA",65860
"cz20500","Boston, MA",65848
"cz16400","Youngstown, OH & PA",65633
"cz10700","Birmingham, AL",65577
"cz12901","Lexington-Fayette, KY",65397
"cz18900","Williamsport, PA",65361
"cz16901","Charleston, WV",65119
"cz20901","Bridgeport, CT",64922
"cz23500","Decatur, IL",64770
"cz2300","Lynchburg, VA",64552
"cz16100","State College, PA",64551
"cz4901","Jackson, TN",64523
"cz15100","Lorain, OH",64443
"cz1302","Florence, SC",64437
"cz19901","Dover, DE & MD",64267
"cz18000","Buffalo, NY",64221
"cz20902","Pittsfield, MA & VT",64109
"cz6401","Chattanooga, GA & TN",64028
"cz19400","New York, NY",63996
"cz12001","Big Rapids, MI",63985
"cz9002","Milledgeville, GA",63741
"cz19200","Harrisburg, PA",63701
"cz12501","Dayton, OH",63677
"cz18400","Plattsburgh, NY",63624
"cz1701","Raleigh, NC",63309
"cz15400","Zanesville, OH",63289
"cz8000","Sumter, SC",62844
"cz18800","Scranton, PA",62794
"cz20001","Bangor, ME",62694
"cz11900","Saginaw, MI",62639
"cz17300","Staunton, VA",62480
"cz17100","Huntington, KY & OH & WV",62437
"cz2400","Richmond, VA",62284
"cz14200","Indianapolis, IN",62136
"cz10102","Thomasville, GA",61986
"cz9003","Dublin, GA",61812
"cz8800","Savannah, GA & SC",61486
"cz16000","Mansfield, OH",61480
"cz17900","Union, NY & PA",61360
"cz13502","Defiance, OH",61081
"cz10400","Meridian, MS",61045
"cz15900","Columbus, OH",60883
"cz2500","Newport News, VA",60727
"cz12100","Kalamazoo, MI",60575
"cz13501","Toledo, MI & OH",60548
"cz14000","Muncie, IN",60492
"cz7700","Lake City, FL",60269
"cz2000","Virginia Beach, NC & VA",60178
"cz18100","Elmira, NY & PA",60045
"cz1203","Asheville, NC",60002
"cz17700","Syracuse, NY",59667
"cz15000","Canton, OH",59421
"cz14100","Fort Wayne, IN",59371
"cz401","Winston-Salem, NC",59366
"cz17200","Harrisonburg, VA & WV",59190
"cz10501","Columbus, AL & MS",59096
"cz8100","Columbia, SC",59013
"cz13400","Lima, OH",58846
"cz11700","Lansing, MI",58508
"cz18700","Sunbury, PA",58258
"cz9301","Winder, GA",57946
"cz25300","Union City, KY & TN",57807
"cz18300","Watertown, NY",57690
"cz20600","Manchester, ME & NH",57680
"cz19100","Reading, PA",57341
"cz20800","Springfield, MA",57282
"cz17502","Winchester, VA & WV",57228
"cz8202","Charleston, SC",57216
"cz11500","Jackson, MI",57181
"cz14300","Columbus, IN",57067
"cz800","Gastonia, NC",57005
"cz8503","Valdosta, GA",56750
"cz9200","Griffin, GA",56746
"cz8300","Greenville, SC",56573
"cz9100","Atlanta, GA",56515
"cz15300","Parkersburg, OH & WV",56432
"cz6600","Rome, AL & GA",56317
"cz10200","Albany, GA",56299
"cz21004","Rhinelander, WI",56285
"cz402","Martinsville, VA",56213
"cz1900","Jacksonville, NC",56195
"cz23302","Douglas, IL",56185
"cz24000","Kenosha, WI",56104
"cz12600","Wayne, IN",56086
"cz9302","Toccoa, GA",55986
"cz7600","Jacksonville, FL & GA",55904
"cz16600","Roanoke, VA & WV",55713
"cz302","Knoxville, TN",55664
"cz8900","Macon, GA",55657
"cz5500","Columbia, TN",55614
"cz17400","Hagerstown, MD & PA & WV",55465
"cz1500","Wilmington, NC",55285
"cz8701","Hinesville, GA",55235
"cz8702","Statesboro, GA",55159
"cz5401","Bowling Green, KY",55145
"cz11101","Montgomery, AL",54983
"cz1800","Goldsboro, NC",54788
"cz16500","Erie, NY & PA",54720
"cz13600","South Bend, IN & MI",54607
"cz1002","Morganton, NC",54588
"cz24100","Milwaukee, WI",54466
"cz5700","Tullahoma, TN",54337
"cz13300","Findlay, OH",54319
"cz9701","Columbus, AL & GA",54019
"cz6302","Cookeville, TN",53964
"cz12401","Alpena, MI",53583
"cz16200","Altoona, PA",53574
"cz10000","Panama City, FL",53545
"cz14700","Evansville, IL & IN",53455
"cz8601","Waycross, GA",53382
"cz20302","Claremont, NH & VT",53008
"cz5600","Nashville, TN",53005
"cz12200","Grand Rapids, MI",52940
"cz22500","Oshkosh, WI",52862
"cz20200","Burlington, VT",52797
"cz13101","Louisville, IN & KY",52721
"cz100","Johnson City, TN & VA",52582
"cz13900","Center, IN",52574
"cz12002","Ludington, MI",52571
"cz6200","Florence, AL & TN",52451
"cz9500","Talladega, AL",52382
"cz900","Charlotte, NC & SC",52351
"cz17501","Cumberland, MD & WV",52119
"cz14600","Bloomington, IN",52107
"cz22601","Green Bay, WI",51978
"cz13200","Owensboro, KY",51961
"cz18201","Olean, NY & PA",51921
"cz22400","Sheboygan, WI",51853
"cz20401","Providence, MA & RI",51781
"cz13800","Wayne, IN",51612
"cz13000","Elizabethtown, KY",51564
"cz11800","Mount Pleasant, MI",51483
"cz18500","Amsterdam, NY",51375
"cz13700","Concord, IN & MI",51356
"cz6502","Cleveland, TN",51131
"cz17800","Oneonta, NY",50947
"cz15700","Scioto, OH",50497
"cz12302","Petoskey, MI",50432
"cz9600","LaGrange, AL & GA",50428
"cz2100","Washington, NC",50201
"cz500","Greensboro, NC & VA",49108
"cz2700","Gulfport, MS",48789
"cz11001","Mobile, AL",48467
"cz15500","Steubenville, OH & WV",48466
"cz8602","Brunswick, GA",47881
"cz11401","Marquette, MI",47781
"cz10900","Pensacola, FL",47290
"cz2600","Roanoke Rapids, NC & VA",46695
"cz25401","Paducah, IL & KY",45692
"cz11402","Marinette, MI & WI",45496
"cz9400","Gainesville, GA",45400
"cz12301","Traverse City, MI",45385
"cz1400","Fayetteville, NC",45325
"cz19902","Easton, MD",45109
"cz10302","Dothan, AL",45062
"cz5900","Clarksville, KY & TN",44967
"cz20100","Portland, ME",44820
"cz200","Morristown, TN",44557
"cz20700","Keene, NH & VT",44292
"cz700","Spartanburg, NC & SC",44220
"cz12502","Washington Court House, OH",42403
"cz1100","Hickory, NC",41481
"cz5000","Tupelo, MS",40349
"cz12903","Danville, KY",39241
"cz22602","Shawano, WI",38292
"cz12402","Grayling charter, MI",36715
"cz9001","Vidalia, GA",35364
"cz2800","Laurel, MS",0
"cz1301","Bennettsville, SC",0
"cz11002","Atmore, AL",0
"cz1202","Sylva, NC",0
"cz1702","Henderson, NC",0
"cz20002","Calais, ME",0
"cz11403","Sault Ste. Marie, MI",0
"cz20003","Presque Isle, ME",0
"cz10600","Jasper, AL",0
"cz19903","Chincoteague, VA",0
"cz6402","Crossville, TN",0
"cz11102","Troy, AL",0
"cz1201","Franklin, GA & NC",0
"cz5402","Glasgow, KY & TN",0
"cz11303","Colonial Beach, VA",0
"cz4501","West Liberty, KY",0
"cz9702","Americus, GA",0
"cz13102","Madison, IN & KY",0
"cz14801","Olney, IL",0
"cz301","Middlesborough, KY & TN",0
"cz10802","Demopolis, AL",0
"cz11203","Big Stone Gap, VA",0
"cz20301","Berlin, NH & VT",0
"cz10101","Bainbridge, GA",0
"cz6501","Ellijay, GA",0
"cz4601","Campbellsville, KY",0
"cz602","Galax, NC & VA",0
"cz25402","Murray, KY",0
"cz1204","Andrews, GA & NC",0
"cz13103","Bardstown, KY",0
"cz16703","Buckhannon, WV",0
"cz4602","Somerset, KY & TN",0
"cz4401","London, KY",0
"cz4502","Hazard, KY",0
"cz12702","Maysville, KY",0
"cz11202","Welch, WV",0
"cz8502","Cordele, GA",0
"cz4903","Lexington, TN",0
"cz6301","McMinnville, TN",0
"cz10301","Eufaula, AL & GA",0
"cz12902","Mount Sterling, KY",0
"cz20403","Oak Bluffs, MA",0
"cz25602","Harrisburg, IL",0
"cz16802","Summersville, WV",0
"cz16902","Spencer, WV",0
"cz5100","Corinth, MS & TN",0
"cz8402","Washington, GA",0
"cz8501","Fitzgerald, GA",0
"cz1001","Boone, NC & TN",0
"cz18202","St. Marys, PA",0
"cz8201","Barnwell, SC",0
"cz16701","Elkins, WV",0
"cz14802","Vincennes, IL & IN",0
"cz20402","Nantucket, MA",0
"cz601","North Wilkesboro, NC",0