"cz19600","Newark, NJ & NY",63148
"cz19400","New York, NY",62365
"cz11304","Washington DC, DC & MD & VA",60643
"cz20402","Nantucket, MA",59736
"cz24300","Chicago, IL",58612
"cz20500","Boston, MA",57802
"cz19500","Toms River, NJ",57215
"cz20901","Bridgeport, CT",56707
"cz19700","Philadelphia, NJ & PA",55668
"cz22601","Green Bay, WI",55281
"cz24100","Milwaukee, WI",54736
"cz11302","Baltimore, MD",54519
"cz19000","Allentown, PA",54278
"cz22500","Oshkosh, WI",53954
"cz22400","Sheboygan, WI",53309
"cz18600","Albany, NY",53240
"cz19100","Reading, PA",53187
"cz16300","Pittsburgh, PA",52964
"cz13400","Lima, OH",52510
"cz23400","Bloomington, IL",52490
"cz19300","Poughkeepsie, NY",52435
"cz14900","Gary, IN",52391
"cz18000","Buffalo, NY",52038
"cz2400","Richmond, VA",51818
"cz20401","Providence, MA & RI",51641
"cz24200","Bourbonnais, IL",51611
"cz19200","Harrisburg, PA",51440
"cz10802","Demopolis, AL",51246
"cz23500","Decatur, IL",51043
"cz20600","Manchester, ME & NH",51037
"cz20800","Springfield, MA",51012
"cz14700","Evansville, IL & IN",50874
"cz9100","Atlanta, GA",50619
"cz1701","Raleigh, NC",50567
"cz18202","St. Marys, PA",50308
"cz19800","Wilmington, DE & MD",50196
"cz21004","Rhinelander, WI",50069
"cz11402","Marinette, MI & WI",49860
"cz24000","Kenosha, WI",49775
"cz15200","Cleveland, OH",49731
"cz23302","Douglas, IL",49730
"cz14100","Fort Wayne, IN",49607
"cz11301","Fredericksburg, VA",49567
"cz25500","Centralia, IL",49333
"cz17700","Syracuse, NY",49183
"cz20200","Burlington, VT",49144
"cz13501","Toledo, MI & OH",49124
"cz11700","Lansing, MI",49103
"cz11600","Detroit, MI",49069
"cz13502","Defiance, OH",49039
"cz22602","Shawano, WI",48985
"cz12200","Grand Rapids, MI",48896
"cz18800","Scranton, PA",48632
"cz12701","Cincinnati, KY & OH",48624
"cz16100","State College, PA",48595
"cz18700","Sunbury, PA",48416
"cz2500","Newport News, VA",48275
"cz15600","Wheeling, OH & WV",48266
"cz10502","Starkville, MS",48135
"cz19902","Easton, MD",48110
"cz18900","Williamsport, PA",48082
"cz2300","Lynchburg, VA",48061
"cz16200","Altoona, PA",47773
"cz10501","Columbus, AL & MS",47669
"cz14500","Lafayette, IL & IN",47565
"cz14200","Indianapolis, IN",47517
"cz13300","Findlay, OH",47501
"cz12800","Washington, IN",47501
"cz13800","Wayne, IN",47400
"cz13600","South Bend, IN & MI",47205
"cz11401","Marquette, MI",47141
"cz20302","Claremont, NH & VT",47140
"cz13700","Concord, IN & MI",47136
"cz14801","Olney, IL",47034
"cz15000","Canton, OH",46871
"cz16500","Erie, NY & PA",46816
"cz10700","Birmingham, AL",46770
"cz900","Charlotte, NC & SC",46740
"cz9800","Auburn, AL",46722
"cz11900","Saginaw, MI",46720
"cz13200","Owensboro, KY",46692
"cz18201","Olean, NY & PA",46637
"cz14802","Vincennes, IL & IN",46631
"cz16702","Morgantown, WV",46605
"cz15100","Lorain, OH",46586
"cz20403","Oak Bluffs, MA",46527
"cz17600","Charlottesville, VA",46490
"cz17900","Union, NY & PA",46486
"cz2800","Laurel, MS",46463
"cz11303","Colonial Beach, VA",46439
"cz16400","Youngstown, OH & PA",46413
"cz18100","Elmira, NY & PA",46374
"cz8100","Columbia, SC",46364
"cz11101","Montgomery, AL",46275
"cz15900","Columbus, OH",46266
"cz12100","Kalamazoo, MI",46192
"cz20902","Pittsfield, MA & VT",46165
"cz2600","Roanoke Rapids, NC & VA",46022
"cz20700","Keene, NH & VT",45972
"cz25602","Harrisburg, IL",45956
"cz10801","Tuscaloosa, AL",45891
"cz17400","Hagerstown, MD & PA & WV",45823
"cz11001","Mobile, AL",45815
"cz2000","Virginia Beach, NC & VA",45774
"cz20301","Berlin, NH & VT",45722
"cz17502","Winchester, VA & WV",45622
"cz1600","Wilson, NC",45595
"cz5600","Nashville, TN",45589
"cz25401","Paducah, IL & KY",45568
"cz401","Winston-Salem, NC",45550
"cz10400","Meridian, MS",45442
"cz12501","Dayton, OH",45354
"cz23301","Charleston, IL",45321
"cz18500","Amsterdam, NY",45290
"cz8800","Savannah, GA & SC",45273
"cz17200","Harrisonburg, VA & WV",45270
"cz13101","Louisville, IN & KY",45265
"cz15500","Steubenville, OH & WV",45237
"cz20100","Portland, ME",45220
"cz11002","Atmore, AL",45190
"cz18400","Plattsburgh, NY",45090
"cz2100","Washington, NC",45090
"cz13103","Bardstown, KY",45086
"cz11102","Troy, AL",45060
"cz8401","Aiken, GA & SC",45026
"cz2200","South Boston, VA",44967
"cz17800","Oneonta, NY",44955
"cz25200","Henderson, KY",44931
"cz18300","Watertown, NY",44925
"cz11500","Jackson, MI",44857
"cz13900","Center, IN",44801
"cz8402","Washington, GA",44525
"cz8900","Macon, GA",44523
"cz9301","Winder, GA",44491
"cz19901","Dover, DE & MD",44484
"cz10301","Eufaula, AL & GA",44464
"cz11800","Mount Pleasant, MI",44413
"cz8202","Charleston, SC",44353
"cz14400","Terre Haute, IN",44283
"cz11403","Sault Ste. Marie, MI",44271
"cz16600","Roanoke, VA & WV",44113
"cz12002","Ludington, MI",44107
"cz500","Greensboro, NC & VA",43985
"cz10102","Thomasville, GA",43939
"cz17300","Staunton, VA",43931
"cz12301","Traverse City, MI",43918
"cz16703","Buckhannon, WV",43884
"cz16000","Mansfield, OH",43794
"cz9702","Americus, GA",43757
"cz13102","Madison, IN & KY",43733
"cz1800","Goldsboro, NC",43670
"cz10302","Dothan, AL",43582
"cz15300","Parkersburg, OH & WV",43565
"cz8000","Sumter, SC",43422
"cz19903","Chincoteague, VA",43368
"cz6000","Huntsville, AL & TN",43350
"cz17501","Cumberland, MD & WV",43319
"cz20003","Presque Isle, ME",43314
"cz15400","Zanesville, OH",43206
"cz4901","Jackson, TN",43172
"cz9003","Dublin, GA",43080
"cz12401","Alpena, MI",43070
"cz1900","Jacksonville, NC",43017
"cz12302","Petoskey, MI",42972
"cz9900","Tallahassee, FL",42971
"cz14300","Columbus, IN",42920
"cz14600","Bloomington, IN",42883
"cz7900","Gainesville, FL",42795
"cz8201","Barnwell, SC",42679
"cz25300","Union City, KY & TN",42657
"cz20001","Bangor, ME",42638
"cz8702","Statesboro, GA",42615
"cz8300","Greenville, SC",42463
"cz16901","Charleston, WV",42297
"cz16802","Summersville, WV",42235
"cz12001","Big Rapids, MI",42233
"cz13000","Elizabethtown, KY",42153
"cz16801","Beckley, WV",42048
"cz5700","Tullahoma, TN",42024
"cz6200","Florence, AL & TN",41957
"cz5900","Clarksville, KY & TN",41891
"cz7600","Jacksonville, FL & GA",41869
"cz14000","Muncie, IN",41802
"cz5000","Tupelo, MS",41761
"cz5401","Bowling Green, KY",41632
"cz700","Spartanburg, NC & SC",41630
"cz8503","Valdosta, GA",41610
"cz9400","Gainesville, GA",41589
"cz12901","Lexington-Fayette, KY",41553
"cz8501","Fitzgerald, GA",41549
"cz1702","Henderson, NC",41547
"cz9600","LaGrange, AL & GA",41539
"cz25402","Murray, KY",41404
"cz9500","Talladega, AL",41373
"cz12402","Grayling charter, MI",41239
"cz1302","Florence, SC",41218
"cz6401","Chattanooga, GA & TN",41086
"cz1203","Asheville, NC",41059
"cz2700","Gulfport, MS",41036
"cz10200","Albany, GA",41013
"cz11201","Bluefield, VA & WV",41002
"cz5500","Columbia, TN",40906
"cz1500","Wilmington, NC",40860
"cz9701","Columbus, AL & GA",40763
"cz1100","Hickory, NC",40639
"cz5800","Dickson, TN",40578
"cz16701","Elkins, WV",40492
"cz1400","Fayetteville, NC",40481
"cz10900","Pensacola, FL",40402
"cz16902","Spencer, WV",40314
"cz302","Knoxville, TN",40245
"cz402","Martinsville, VA",40102
"cz9302","Toccoa, GA",39985
"cz800","Gastonia, NC",39969
"cz12600","Wayne, IN",39949
"cz8602","Brunswick, GA",39921
"cz4903","Lexington, TN",39783
"cz10101","Bainbridge, GA",39780
"cz1201","Franklin, GA & NC",39768
"cz9002","Milledgeville, GA",39690
"cz5402","Glasgow, KY & TN",39470
"cz10600","Jasper, AL",39423
"cz6100","Gadsden, AL",39397
"cz8601","Waycross, GA",39395
"cz1202","Sylva, NC",39354
"cz9001","Vidalia, GA",39177
"cz17100","Huntington, KY & OH & WV",38831
"cz12502","Washington Court House, OH",38730
"cz8502","Cordele, GA",38651
"cz1301","Bennettsville, SC",38632
"cz15800","Athens, OH & WV",38625
"cz5100","Corinth, MS & TN",38618
"cz8701","Hinesville, GA",38582
"cz601","North Wilkesboro, NC",38513
"cz7700","Lake City, FL",38500
"cz9200","Griffin, GA",38476
"cz12903","Danville, KY",38347
"cz602","Galax, NC & VA",38328
"cz12702","Maysville, KY",38220
"cz6600","Rome, AL & GA",38151
"cz1001","Boone, NC & TN",38149
"cz6302","Cookeville, TN",37944
"cz1204","Andrews, GA & NC",37738
"cz15700","Scioto, OH",37729
"cz10000","Panama City, FL",37722
"cz11203","Big Stone Gap, VA",37545
"cz6502","Cleveland, TN",37529
"cz100","Johnson City, TN & VA",37401
"cz1002","Morganton, NC",37063
"cz4601","Campbellsville, KY",36824
"cz17000","Pikeville, KY & WV",36755
"cz4402","Richmond, KY",36668
"cz6402","Crossville, TN",36418
"cz6301","McMinnville, TN",35930
"cz20002","Calais, ME",35900
"cz12902","Mount Sterling, KY",35798
"cz11202","Welch, WV",35701
"cz6501","Ellijay, GA",35657
"cz200","Morristown, TN",35043
"cz4502","Hazard, KY",34104
"cz301","Middlesborough, KY & TN",33627
"cz4401","London, KY",33612
"cz4602","Somerset, KY & TN",33231
"cz4501","West Liberty, KY",32967